time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-17 00:00:00+00:00,20,9,38,4
2026-04-18 00:00:00+00:00,16,6,16,1
2026-04-19 00:00:00+00:00,22,11,7,2
2026-04-20 00:00:00+00:00,45,18,9,3
2026-04-21 00:00:00+00:00,47,21,7,2
2026-04-22 00:00:00+00:00,91,32,4,3
2026-04-23 00:00:00+00:00,89,31,5,3
2026-04-24 00:00:00+00:00,91,34,1,1
2026-04-25 00:00:00+00:00,55,24,0,0
2026-04-26 00:00:00+00:00,31,10,0,0
2026-04-27 00:00:00+00:00,31,12,9,3
2026-04-28 00:00:00+00:00,20,5,1,1
2026-04-29 00:00:00+00:00,64,18,6,3
2026-04-30 00:00:00+00:00,46,16,14,4
