time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,12,5,0,0
2026-05-24 00:00:00+00:00,24,10,0,0
2026-05-25 00:00:00+00:00,20,7,0,0
2026-05-26 00:00:00+00:00,25,13,1,1
2026-05-27 00:00:00+00:00,15,7,2,1
2026-05-28 00:00:00+00:00,17,9,1,1
2026-05-29 00:00:00+00:00,31,14,2,2
2026-05-30 00:00:00+00:00,26,10,1,1
2026-05-31 00:00:00+00:00,27,11,0,0
2026-06-01 00:00:00+00:00,12,5,8,3
2026-06-02 00:00:00+00:00,21,10,1,1
2026-06-03 00:00:00+00:00,40,15,2,2
2026-06-04 00:00:00+00:00,21,10,23,1
2026-06-05 00:00:00+00:00,14,7,4,2
