url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1,17,14
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/bingclaw_tutorial_2025.pdf,17,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/setrun.py,5,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main,4,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/absolute_initial_tauy_example,3,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/PaleoNorthAtlantic.tt3.gz,2,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/relative_initial_tauy_example,2,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/actions/workflows/github-repo-stats.yml,1,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/README.md,1,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/absolute_initial_tauy_example/README.md,1,1
