url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1,28,10
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/github-repo-stats/norwegian-geotechnical-institute/BingCLAW_5.6.1/latest-report/report.pdf,15,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example,12,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github/workflows,9,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/github-repo-stats/norwegian-geotechnical-institute/BingCLAW_5.6.1,8,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/github-repo-stats/norwegian-geotechnical-institute/BingCLAW_5.6.1/latest-report,8,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/branches,6,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/LICENSE.md,6,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main,5,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/setrun.py,5,1
