time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-31 00:00:00+00:00,18,9,1,1
2026-04-01 00:00:00+00:00,16,7,0,0
2026-04-02 00:00:00+00:00,13,5,3,3
2026-04-03 00:00:00+00:00,8,4,0,0
2026-04-04 00:00:00+00:00,9,4,0,0
2026-04-05 00:00:00+00:00,6,4,0,0
2026-04-06 00:00:00+00:00,15,7,7,3
2026-04-07 00:00:00+00:00,9,5,8,3
2026-04-08 00:00:00+00:00,12,6,4,2
2026-04-09 00:00:00+00:00,23,8,1,1
2026-04-10 00:00:00+00:00,28,10,3,2
2026-04-11 00:00:00+00:00,27,10,0,0
2026-04-12 00:00:00+00:00,13,6,1,1
2026-04-13 00:00:00+00:00,9,4,0,0
