time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-05 00:00:00+00:00,13,9,5,3
2026-02-06 00:00:00+00:00,12,4,0,0
2026-02-07 00:00:00+00:00,10,6,0,0
2026-02-08 00:00:00+00:00,12,7,0,0
2026-02-09 00:00:00+00:00,16,8,0,0
2026-02-10 00:00:00+00:00,9,5,0,0
2026-02-11 00:00:00+00:00,1,1,2,2
2026-02-12 00:00:00+00:00,12,8,0,0
2026-02-13 00:00:00+00:00,16,8,0,0
2026-02-14 00:00:00+00:00,16,8,0,0
2026-02-15 00:00:00+00:00,18,9,1,1
2026-02-16 00:00:00+00:00,21,8,0,0
2026-02-17 00:00:00+00:00,8,4,0,0
2026-02-18 00:00:00+00:00,7,3,2,1
