url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1,29,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/github-repo-stats/norwegian-geotechnical-institute/BingCLAW_5.6.1/latest-report,23,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/github-repo-stats/norwegian-geotechnical-institute/BingCLAW_5.6.1/latest-report/report.pdf,20,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/github-repo-stats/norwegian-geotechnical-institute/BingCLAW_5.6.1,19,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/github-repo-stats/norwegian-geotechnical-institute/BingCLAW_5.6.1/ghrs-data/views_clones_aggregate.csv,13,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/github-repo-stats,12,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/actions/workflows/github-repo-stats.yml,8,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/actions,7,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/github-repo-stats/norwegian-geotechnical-institute/BingCLAW_5.6.1/latest-report/report.html,7,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/github-repo-stats/norwegian-geotechnical-institute/BingCLAW_5.6.1/README.md,6,1
