time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-10 00:00:00+00:00,18,8,23,4
2026-05-11 00:00:00+00:00,13,8,0,0
2026-05-12 00:00:00+00:00,24,9,1,1
2026-05-13 00:00:00+00:00,17,6,2,2
2026-05-14 00:00:00+00:00,21,9,2,1
2026-05-15 00:00:00+00:00,89,32,27,5
2026-05-16 00:00:00+00:00,15,7,0,0
2026-05-17 00:00:00+00:00,23,10,0,0
2026-05-18 00:00:00+00:00,43,15,2,2
2026-05-19 00:00:00+00:00,16,6,0,0
2026-05-20 00:00:00+00:00,27,10,7,4
2026-05-21 00:00:00+00:00,26,10,1,1
2026-05-22 00:00:00+00:00,20,9,9,4
2026-05-23 00:00:00+00:00,12,5,0,0
